shape_no,fields,options,shape_name,category
1,A,,,
2,A|B,,,
3,A|B|R1,,,
4,A|B|C,,,
5,A|B|C|R1,,,
6,A|B|C,,,
7,A|B|C|R1,,,
8,A|B|C|R1|R2,,,
9,A|B|C|R1|R2,,,
10,A|B|C|R1|R2,,,
11,A|B|C|D,,,
12,A|B|C|D,,,
13,A|B|C|D|R1,,,
14,A|B|C|D|R1,,,
15,A|B|C|D|E,,,
16,A|B|C|D|E|R1,,,
17,A|B|C|D|E|R1|R2,,,
19,A|B|C|D|E|R1|R2,,,
20,A|B|C|D|E|F|G|R1|R2,,,
21,A|B|C|R1|R2,,,
22,A|B|C|D|E|R1|R2,,,
23,A|B|R1,,,
24,A|B|C|D|E|F|G|R1|R2,,,
25,A|B|C|D|E|F|R1|R2,,,
26,A|B|C|R1,,,
27,A|R1,,,
28,A|B|R1,,,
29,A|B|C|D|E|R1|R2,,,
30,A|B|C|D|E|R1|R2,,,
31,A|B|C|D|R1|R2,,,
32,A|B|R1,,,
33,A|B|R1,,,
34,A|B|R1,,,
35,A|B|C|D|E|R1|R2,,,
36,A|B|C|D|E|F,,,
37,A|B|C|D|R1,,,
38,A|B|C|R1|R2|R3,,,
39,A|B|C|R1|R2|R3,,,
40,A|B|C|R1|R2|R3,,,
74,A|B|C|D|R1,,,
274,A|B|C|D|R1|R2,,,
